Identifier,Physiological experiment id,Date id,Genus,Species,Collection method,Control,Start date,End date,Pre-gravid,Nulliparous,1P,2P,3P,4P,5P,6P,7P,8P,9P,10P,11P,12P,>threshold,Total,Total in paper if different,Threshold,Table number,Figure number,Digitise,Note,ID -- concat
12,1,14,Culex,quinquefasciatus,Indoor resting,1,01/02/1963,28/02/1963,,235,119,24,3,3,,,,,,,,,,384,384,,1,,0,Peliyagoda,12 1
12,1,15,Culex,quinquefasciatus,Indoor resting,1,01/03/1963,31/03/1963,,307,166,68,10,2,,,,,,,,,,553,553,,1,,0,Peliyagoda,12 1
12,1,16,Culex,quinquefasciatus,Indoor resting,1,01/04/1963,30/04/1963,,118,67,26,5,0,,,,,,,,,,216,216,,1,,0,Peliyagoda,12 1
12,1,17,Culex,quinquefasciatus,Indoor resting,1,01/05/1963,31/05/1963,,129,63,30,2,0,,,,,,,,,,224,224,,1,,0,Peliyagoda,12 1
12,1,18,Culex,quinquefasciatus,Indoor resting,1,01/06/1963,30/06/1963,,155,71,27,2,1,,,,,,,,,,256,256,,1,,0,Peliyagoda,12 1
12,1,19,Culex,quinquefasciatus,Indoor resting,1,01/07/1963,31/07/1963,,145,103,42,3,1,,,,,,,,,,294,294,,1,,0,Peliyagoda,12 1
12,1,20,Culex,quinquefasciatus,Indoor resting,1,01/08/1963,31/08/1963,,219,43,5,0,0,,,,,,,,,,267,270,,1,,0,Peliyagoda � changed from paper 119 since think probably missing 100,12 1
12,1,21,Culex,quinquefasciatus,Indoor resting,1,01/09/1963,30/09/1963,,169,105,26,4,1,,,,,,,,,,305,305,,1,,0,Peliyagoda,12 1
12,1,22,Culex,quinquefasciatus,Indoor resting,1,01/10/1963,31/10/1963,,519,287,85,9,1,,,,,,,,,,901,901,,1,,0,Peliyagoda,12 1
12,1,23,Culex,quinquefasciatus,Indoor resting,1,01/11/1963,30/11/1963,,555,315,101,16,4,,,,,,,,,,991,991,,1,,0,Peliyagoda,12 1
12,1,24,Culex,quinquefasciatus,Indoor resting,1,01/12/1963,31/12/1963,,303,181,32,8,0,,,,,,,,,,524,524,,1,,0,Peliyagoda,12 1
12,2,1,Culex,quinquefasciatus,Indoor resting,1,01/04/1962,30/04/1962,,54,37,15,2,0,,,,,,,,,,108,108,,2,,0,Hendala,12 2
12,2,2,Culex,quinquefasciatus,Indoor resting,1,01/05/1962,31/05/1962,,51,29,6,0,0,,,,,,,,,,86,86,,2,,0,Hendala,12 2
12,2,3,Culex,quinquefasciatus,Indoor resting,1,01/06/1962,30/06/1962,,119,51,16,1,0,,,,,,,,,,187,187,,2,,0,Hendala,12 2
12,2,4,Culex,quinquefasciatus,Indoor resting,1,01/07/1962,31/07/1962,,41,16,5,2,1,,,,,,,,,,65,65,,2,,0,Hendala,12 2
12,2,5,Culex,quinquefasciatus,Indoor resting,1,01/08/1962,31/08/1962,,62,24,12,2,0,,,,,,,,,,100,100,,2,,0,Hendala,12 2
12,2,6,Culex,quinquefasciatus,Indoor resting,1,01/09/1962,30/09/1962,,84,42,14,1,0,,,,,,,,,,141,141,,2,,0,Hendala,12 2
12,2,7,Culex,quinquefasciatus,Indoor resting,1,01/10/1962,31/10/1962,,123,53,13,4,0,,,,,,,,,,193,193,,2,,0,Hendala,12 2
12,2,8,Culex,quinquefasciatus,Indoor resting,1,01/11/1962,30/11/1962,,148,91,23,5,0,,,,,,,,,,267,267,,2,,0,Hendala,12 2
12,2,9,Culex,quinquefasciatus,Indoor resting,1,01/12/1962,31/12/1962,,172,66,19,1,1,,,,,,,,,,259,259,,2,,0,Hendala,12 2
12,2,10,Culex,quinquefasciatus,Indoor resting,1,01/01/1963,31/01/1963,,74,32,10,0,0,,,,,,,,,,116,116,,2,,0,Hendala,12 2
12,2,11,Culex,quinquefasciatus,Indoor resting,1,01/02/1963,28/02/1963,,132,64,25,5,0,,,,,,,,,,226,226,,2,,0,Hendala,12 2
12,2,12,Culex,quinquefasciatus,Indoor resting,1,01/03/1963,31/03/1963,,162,70,27,4,1,,,,,,,,,,264,264,,2,,0,Hendala,12 2
12,2,13,Culex,quinquefasciatus,Indoor resting,1,01/04/1963,30/04/1963,,96,32,9,1,1,,,,,,,,,,139,139,,2,,0,Hendala,12 2
12,2,14,Culex,quinquefasciatus,Indoor resting,1,01/05/1963,31/05/1963,,105,55,11,0,0,,,,,,,,,,171,171,,2,,0,Hendala,12 2
12,2,15,Culex,quinquefasciatus,Indoor resting,1,01/06/1963,30/06/1963,,161,69,21,1,0,,,,,,,,,,252,252,,2,,0,Hendala,12 2
12,2,16,Culex,quinquefasciatus,Indoor resting,1,01/07/1963,31/07/1963,,194,92,21,4,0,,,,,,,,,,311,311,,2,,0,Hendala,12 2
12,2,17,Culex,quinquefasciatus,Indoor resting,1,01/08/1963,31/08/1963,,231,95,21,1,0,,,,,,,,,,348,348,,2,,0,Hendala,12 2
12,2,18,Culex,quinquefasciatus,Indoor resting,1,01/09/1963,30/09/1963,,162,80,26,1,0,,,,,,,,,,269,269,,2,,0,Hendala,12 2
12,2,19,Culex,quinquefasciatus,Indoor resting,1,01/10/1963,31/10/1963,,162,88,25,2,0,,,,,,,,,,277,277,,2,,0,Hendala,12 2
12,2,20,Culex,quinquefasciatus,Indoor resting,1,01/11/1963,30/11/1963,,205,124,24,2,0,,,,,,,,,,355,355,,2,,0,Hendala,12 2
12,2,21,Culex,quinquefasciatus,Indoor resting,1,01/12/1963,31/12/1963,,243,119,25,5,0,,,,,,,,,,392,392,,2,,0,Hendala,12 2
13,1,1,Mansonia,uniformis,Animal-bait,1,01/02/1961,28/02/1961,,247,226,173,97,41,12,1,,,,,,,,797,797,,1,,0,,13 1
13,1,2,Mansonia,uniformis,Animal-bait,1,01/03/1961,31/03/1961,,250,129,102,43,21,9,3,,,,,,,,557,557,,1,,0,,13 1
13,1,3,Mansonia,uniformis,Animal-bait,1,01/04/1961,30/04/1961,,351,238,138,62,16,5,0,,,,,,,,810,810,,1,,0,,13 1
13,1,4,Mansonia,uniformis,Animal-bait,1,01/05/1961,31/05/1961,,860,435,238,107,32,13,3,,,,,,,,1688,1688,,1,,0,,13 1
13,2,1,Mansonia,uniformis,Human landing,1,01/06/1961,30/06/1961,,134,87,56,21,9,3,1,,,,,,,,311,311,,1,,0,,13 2
13,2,2,Mansonia,uniformis,Human landing,1,01/07/1961,31/07/1961,,435,209,143,60,20,5,0,,,,,,,,872,872,,1,,0,,13 2
13,2,3,Mansonia,uniformis,Human landing,1,01/01/1962,31/01/1962,,379,324,242,124,52,15,4,,,,,,,,1140,1140,,1,,0,,13 2
13,2,4,Mansonia,uniformis,Human landing,1,01/02/1962,28/02/1962,,116,59,44,15,7,3,0,,,,,,,,244,244,,1,,0,,13 2
13,2,5,Mansonia,uniformis,Human landing,1,01/03/1962,31/03/1962,,18,18,5,8,0,0,0,,,,,,,,49,49,,1,,0,,13 2
13,2,6,Mansonia,uniformis,Human landing,1,01/04/1962,30/04/1962,,63,52,30,15,7,3,0,,,,,,,,170,170,,1,,0,,13 2
13,2,7,Mansonia,uniformis,Human landing,1,01/05/1962,31/05/1962,,225,162,103,50,17,5,0,,,,,,,,562,562,,1,,0,,13 2
13,2,8,Mansonia,uniformis,Human landing,1,01/06/1962,30/06/1962,,203,146,60,20,8,3,0,,,,,,,,440,440,,1,,0,,13 2
13,2,9,Mansonia,uniformis,Human landing,1,01/07/1962,31/07/1962,,112,82,48,26,4,1,0,,,,,,,,273,273,,1,,0,,13 2
14,1,1,Anopheles,albitarsis,Human landing,1,01/11/2003,01/07/2004,,13,3,0,,,,,,,,,,,,16,,,5,,0,,14 1
14,2,1,Anopheles,darlingi,Human landing,1,01/11/2003,01/07/2004,,194,23,14,,,,,,,,,,,,231,,,5,,0,,14 2
14,3,1,Anopheles,albitarsis,Human landing,1,01/11/2003,01/07/2004,,51,31,7,,,,,,,,,,,,89,,,5,,0,,14 3
14,4,1,Anopheles,darlingi,Human landing,1,01/11/2003,01/07/2004,,41,13,3,,,,,,,,,,,,57,,,5,,0,,14 4
15,1,1,Anopheles,farauti,Human-landing,1,01/01/1982,31/01/1982,,476,324,135,60,23,13,,,,,,,,10,1041,1050,6,3,,0,"Wet, aggregated over traps 1-2 since are both human-landing, changed 0.16 to 0.016 in trap 2 since proportions didn�t add up",15 1
15,1,2,Anopheles,farauti,Human-landing,1,01/10/1982,31/10/1982,,415,472,250,157,70,37,,,,,,,,30,1431,1431,6,3,,0,"Dry, only trap 2 (as something wrong with trap 1 data)",15 1
15,2,1,Anopheles,farauti,Animal-bait,1,01/01/1982,31/01/1982,,121,84,28,18,14,4,,,,,,,,3,272,269,6,3,,0,Wet,15 2
15,3,1,Anopheles,farauti,CDC light trap,1,01/01/1982,31/01/1982,,131,96,35,23,9,4,,,,,,,,3,301,302,6,3,,0,Wet,15 3
15,4,1,Anopheles,farauti,Outdoor resting,1,01/01/1982,31/01/1982,,63,35,15,11,3,5,,,,,,,,2,134,134,6,3,,0,Wet,15 4
16,1,1,Culex,quinquefasciatus,Indoor resting,1,01/09/1987,30/09/1987,,42,14,10,18,9,2,3,2,0,,,,,,100,,,1,,0,,16 1
16,1,2,Culex,quinquefasciatus,Indoor resting,1,01/10/1987,31/10/1987,,44,14,5,15,9,6,6,0,1,,,,,,100,,,1,,0,,16 1
16,1,3,Culex,quinquefasciatus,Indoor resting,1,01/11/1987,30/11/1987,,47,18,18,7,7,2,0,1,0,,,,,,100,,,1,,0,,16 1
16,1,4,Culex,quinquefasciatus,Indoor resting,1,01/12/1987,31/12/1987,,47,19,19,10,1,3,1,0,0,,,,,,100,,,1,,0,,16 1
16,1,5,Culex,quinquefasciatus,Indoor resting,1,01/01/1988,31/01/1988,,41,18,17,15,6,2,1,0,0,,,,,,100,,,1,,0,,16 1
16,1,6,Culex,quinquefasciatus,Indoor resting,1,01/02/1988,29/02/1988,,33,23,19,12,7,3,2,1,0,,,,,,100,,,1,,0,,16 1
16,1,7,Culex,quinquefasciatus,Indoor resting,1,01/03/1988,31/03/1988,,45,14,15,16,6,3,1,0,0,,,,,,100,,,1,,0,,16 1
16,1,8,Culex,quinquefasciatus,Indoor resting,1,01/04/1988,30/04/1988,,49,18,13,13,7,0,0,0,0,,,,,,100,,,1,,0,,16 1
16,1,9,Culex,quinquefasciatus,Indoor resting,1,01/05/1988,31/05/1988,,64,14,11,9,2,0,0,0,0,,,,,,100,,,1,,0,,16 1
16,1,10,Culex,quinquefasciatus,Indoor resting,1,01/06/1988,30/06/1988,,60,23,9,6,1,1,0,0,0,,,,,,100,,,1,,0,,16 1
16,1,11,Culex,quinquefasciatus,Indoor resting,1,01/07/1988,31/07/1988,,42,20,18,12,5,3,0,0,0,,,,,,100,,,1,,0,,16 1
16,1,12,Culex,quinquefasciatus,Indoor resting,1,01/08/1988,31/08/1988,,47,20,11,14,6,2,0,0,0,,,,,,100,,,1,,0,,16 1
17,1,1,Anopheles,gambiae,"Human landing, indoor resting",1,01/04/1993,30/04/1993,,86,78,20,4,0,,,,,,,,,,188,,,1,,0,,17 1
17,1,2,Anopheles,gambiae,"Human landing, indoor resting",1,01/05/1993,31/05/1993,,66,42,22,16,4,,,,,,,,,,150,,,1,,0,,17 1
19,1,1,Culex,tritaeniorhynchus,CDC light trap,1,01/01/1993,31/01/1993,,74,48,5,,,,,,,,,,,4,131,,3,1,,0,,19 1
19,1,2,Culex,tritaeniorhynchus,CDC light trap,1,01/02/1993,28/02/1993,,17,17,7,,,,,,,,,,,3,44,,3,1,,0,,19 1
19,1,3,Culex,tritaeniorhynchus,CDC light trap,1,01/03/1993,31/03/1993,,15,26,9,,,,,,,,,,,0,50,,3,1,,0,,19 1
19,1,4,Culex,tritaeniorhynchus,CDC light trap,1,01/04/1993,30/04/1993,,40,27,9,,,,,,,,,,,1,77,,3,1,,0,,19 1
19,1,5,Culex,tritaeniorhynchus,CDC light trap,1,01/05/1993,31/05/1993,,38,47,14,,,,,,,,,,,0,99,,3,1,,0,,19 1
19,1,6,Culex,tritaeniorhynchus,CDC light trap,1,01/06/1993,30/06/1993,,56,23,9,,,,,,,,,,,3,91,,3,1,,0,,19 1
19,1,7,Culex,tritaeniorhynchus,CDC light trap,1,01/07/1993,31/07/1993,,51,69,25,,,,,,,,,,,0,145,,3,1,,0,,19 1
19,1,8,Culex,tritaeniorhynchus,CDC light trap,1,01/08/1993,31/08/1993,,55,57,6,,,,,,,,,,,0,118,,3,1,,0,,19 1
19,1,9,Culex,tritaeniorhynchus,CDC light trap,1,01/09/1993,30/09/1993,,49,67,10,,,,,,,,,,,0,126,,3,1,,0,,19 1
19,1,10,Culex,tritaeniorhynchus,CDC light trap,1,01/10/1993,31/10/1993,,58,54,8,,,,,,,,,,,3,123,,3,1,,0,,19 1
19,1,11,Culex,tritaeniorhynchus,CDC light trap,1,01/11/1993,30/11/1993,,112,46,3,,,,,,,,,,,0,161,,3,1,,0,,19 1
19,1,12,Culex,tritaeniorhynchus,CDC light trap,1,01/12/1993,31/12/1993,,42,46,20,,,,,,,,,,,2,110,,3,1,,0,,19 1
19,2,1,Culex,gelidus,CDC light trap,1,01/01/1993,31/01/1993,,64,31,12,,,,,,,,,,,5,112,,3,1,,0,,19 2
19,2,2,Culex,gelidus,CDC light trap,1,01/02/1993,28/02/1993,,28,23,5,,,,,,,,,,,1,57,,3,1,,0,,19 2
19,2,3,Culex,gelidus,CDC light trap,1,01/03/1993,31/03/1993,,2,3,3,,,,,,,,,,,0,8,,3,1,,0,,19 2
19,2,4,Culex,gelidus,CDC light trap,1,01/04/1993,30/04/1993,,4,7,4,,,,,,,,,,,0,15,,3,1,,0,,19 2
19,2,5,Culex,gelidus,CDC light trap,1,01/05/1993,31/05/1993,,16,27,6,,,,,,,,,,,2,51,,3,1,,0,,19 2
19,2,6,Culex,gelidus,CDC light trap,1,01/06/1993,30/06/1993,,75,37,9,,,,,,,,,,,1,122,,3,1,,0,,19 2
19,2,7,Culex,gelidus,CDC light trap,1,01/07/1993,31/07/1993,,58,64,16,,,,,,,,,,,1,139,,3,1,,0,,19 2
19,2,8,Culex,gelidus,CDC light trap,1,01/08/1993,31/08/1993,,33,62,15,,,,,,,,,,,1,111,,3,1,,0,,19 2
19,2,9,Culex,gelidus,CDC light trap,1,01/09/1993,30/09/1993,,60,38,6,,,,,,,,,,,1,105,,3,1,,0,,19 2
19,2,10,Culex,gelidus,CDC light trap,1,01/10/1993,31/10/1993,,53,54,12,,,,,,,,,,,0,119,,3,1,,0,,19 2
19,2,11,Culex,gelidus,CDC light trap,1,01/11/1993,30/11/1993,,70,34,1,,,,,,,,,,,0,105,,3,1,,0,,19 2
19,2,12,Culex,gelidus,CDC light trap,1,01/12/1993,31/12/1993,,33,45,13,,,,,,,,,,,2,93,,3,1,,0,,19 2
20,1,1,Culex,annulirostris,Dry ice trap,1,01/10/1979,31/10/1979,,22,7,1,0,0,,,,,,,,,,30,,,2,,0,,20 1
20,1,2,Culex,annulirostris,Dry ice trap,1,01/11/1979,30/11/1979,,57,38,5,0,0,,,,,,,,,,100,,,2,,0,,20 1
20,1,3,Culex,annulirostris,Dry ice trap,1,01/12/1979,31/12/1979,,86,46,12,1,0,,,,,,,,,,145,,,2,,0,,20 1
20,1,4,Culex,annulirostris,Dry ice trap,1,01/01/1980,31/01/1980,,109,71,19,1,0,,,,,,,,,,200,,,2,,0,,20 1
20,1,5,Culex,annulirostris,Dry ice trap,1,01/02/1980,29/02/1980,,78,93,27,2,0,,,,,,,,,,200,,,2,,0,,20 1
20,1,6,Culex,annulirostris,Dry ice trap,1,01/03/1980,31/03/1980,,29,71,13,3,1,,,,,,,,,,117,,,2,,0,,20 1
20,1,7,Culex,annulirostris,Dry ice trap,1,01/04/1980,30/04/1980,,32,57,9,1,1,,,,,,,,,,100,,,2,,0,,20 1
20,1,8,Culex,annulirostris,Dry ice trap,1,01/05/1980,31/05/1980,,7,16,2,1,0,,,,,,,,,,26,,,2,,0,,20 1
20,1,9,Culex,annulirostris,Dry ice trap,1,01/10/1980,31/10/1980,,9,1,0,0,0,,,,,,,,,,10,,,2,,0,,20 1
20,1,10,Culex,annulirostris,Dry ice trap,1,01/11/1980,30/11/1980,,63,33,4,0,0,,,,,,,,,,100,,,2,,0,,20 1
20,1,11,Culex,annulirostris,Dry ice trap,1,01/12/1980,31/12/1980,,127,61,12,0,0,,,,,,,,,,200,,,2,,0,,20 1
20,1,12,Culex,annulirostris,Dry ice trap,1,01/01/1981,31/01/1981,,119,71,9,1,0,,,,,,,,,,200,,,2,,0,,20 1
20,1,13,Culex,annulirostris,Dry ice trap,1,01/02/1981,28/02/1981,,102,79,17,1,1,,,,,,,,,,200,,,2,,0,,20 1
20,1,14,Culex,annulirostris,Dry ice trap,1,01/03/1981,31/03/1981,,49,41,6,4,0,,,,,,,,,,100,,,2,,0,,20 1
20,1,15,Culex,annulirostris,Dry ice trap,1,01/04/1981,30/04/1981,,23,31,4,1,0,,,,,,,,,,59,,,2,,0,,20 1
20,1,16,Culex,annulirostris,Dry ice trap,1,01/05/1981,31/05/1981,,4,3,3,0,0,,,,,,,,,,10,,,2,,0,,20 1
20,2,1,Culex,annulirostris,Indoor resting,1,01/06/1979,01/08/1981,,40,106,76,25,17,2,1,,,,,,,,267,,,3,,0,Aggregated across dates,20 2
21,1,1,Aedes,aegypti,Sticky traps,1,NA,NA,,3,139,34,19,6,,,4,,,,,,,205,205,,2,,0,Aggregated across single and double sticky traps (also corrected 6->60),21 1
21,2,1,Aedes,aegypti,Sticky traps,1,NA,NA,,6,694,98,38,16,,,9,,,,,,,861,861,,2,,,,21 2
22,1,1,Aedes,sollicitans,Human landing,1,18/06/1975,23/08/1975,,450,664,109,17,,,,,,,,,,,1240,,,1,,0,Aggregated across times,22 1
23,1,1,Anopheles,darlingi,Human landing,1,25/03/1979,14/06/1979,,1039,375,146,27,5,,,,,,,,,2,1594,,5,1,,0,Aggregated across dates,23 1
23,2,1,Anopheles,darlingi,Human landing,1,01/04/1978,31/10/1979,,124,35,17,7,2,,,,,,,,,0,185,,5,2,,0,Aggregated across dates,23 2
24,1,1,Downsiomyia,nivea,Human landing,1,01/02/2000,30/04/2000,,1055,226,58,5,,,,,,,,,,,1344,,,1,,0,,24 1
24,1,2,Downsiomyia,nivea,Human landing,1,01/05/2000,30/11/2000,,1485,372,100,19,,,,,,,,,,,1976,,,1,,0,,24 1
24,1,3,Downsiomyia,nivea,Human landing,1,01/12/1999,31/01/2000,,227,61,14,3,,,,,,,,,,,305,,,1,,0,,24 1
25,1,1,Anopheles,stephensi,Indoor resting,1,01/11/1979,31/12/1979,,123,38,5,,,,,,,,,,,,166,,,3,,0,,25 1
26,1,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,107,76,28,13,2,,,,,,,,,,226,226,,2,,0,Indoor,26 1
26,1,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,165,123,44,6,1,,,,,,,,,,339,339,,2,,0,Indoor,26 1
26,2,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,117,63,21,6,0,,,,,,,,,,207,207,,2,,0,Indoor,26 2
26,2,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,98,66,26,5,0,,,,,,,,,,195,195,,2,,0,Indoor,26 2
26,3,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,47,36,12,1,0,,,,,,,,,,96,96,,2,,0,Indoor,26 3
26,3,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,32,38,8,1,0,,,,,,,,,,79,79,,2,,0,Indoor,26 3
26,4,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,110,45,15,2,1,,,,,,,,,,173,173,,2,,0,Indoor,26 4
26,4,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,82,60,25,4,1,,,,,,,,,,172,172,,2,,0,Indoor,26 4
26,5,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,423,213,89,28,6,,,,,,,,,,759,759,,2,,0,Outdoor,26 5
26,5,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,624,363,132,41,2,,,,,,,,,,1162,1162,,2,,0,Outdoor,26 5
26,6,1,Aedes,polynesiensis,Human landing,1,01/12/1977,31/05/1978,,181,86,39,13,1,,,,,,,,,,320,320,,2,,0,Outdoor,26 6
26,6,2,Aedes,polynesiensis,Human landing,1,01/06/1978,30/11/1978,,249,153,53,10,3,,,,,,,,,,468,468,,2,,0,Outdoor,26 6
